UserName,D0_total_time,D0_num_games,D0_num_sessions,D0_num_genres,D0_most_played_genre,D0_most_played_game,D0_first_activity_hour,D0_last_activity_hour,D1,D2,D3,D6
CHIRANSH,61.66666667,2,2,9,2,10,15,15,1,0,1,1
CHUKKU,28.3,3,1,6,3,6,12,12,1,0,0,1
CR77777,48.95,0,2,5,0,0,15,15,1,0,1,0
CR7RUDRA,44.18333333,4,0,8,4,10,22,22,0,0,1,1
CSK,27.16666667,0,5,2,0,0,22,22,0,1,1,0
Candy,61.21666667,4,9,0,0,10,21,21,0,1,1,0
Candy026514,113.1666667,0,10,9,0,0,19,19,1,0,1,1
Candyqueen,35.86666667,4,4,0,0,1,23,23,0,1,1,0
Captain,35.35,6,2,9,6,4,16,16,1,0,1,1
Captainkiarra,26.83333333,5,4,0,0,8,15,15,0,1,1,0
Carat,33.86666667,5,3,1,5,8,20,20,0,1,1,0
Casper,49.78333333,6,4,9,6,5,12,12,1,0,0,1
Castrack,81.1,7,2,9,3,17,19,19,1,0,1,1
Catty,48.66666667,15,1,5,15,12,19,19,0,1,1,1
Cattycat,174.0333333,15,6,9,10,16,21,21,0,0,1,1
Cbhibi,35.45,6,2,1,6,2,23,23,0,1,1,0
Chaarvi2012,42.8,10,2,6,10,8,19,19,0,0,1,1
Chachi,124.4833333,15,4,1,15,6,18,18,0,1,1,0
ChaeSoo,76.9,9,10,9,3,4,14,14,1,0,0,1
Chaggan,98.9,9,10,8,8,14,13,13,1,0,0,1
Chagganchacha,28.85,3,2,5,3,6,13,13,1,0,1,0
Chahat,51.26666667,12,0,5,12,14,15,15,0,0,0,1
Chahek,70.4,2,2,9,2,33,22,22,1,0,1,1
Chaitanya,29.2,1,0,8,1,2,16,16,1,0,1,1
ChaitanyaKumarTheWinner,38.16666667,11,4,9,5,4,19,19,1,0,1,1
Chaitra123,59.86666667,3,3,9,3,1,19,19,1,0,1,1
Chakru2013modal,37.9,6,3,4,4,1,18,18,0,1,1,0
Chaman,217.6166667,15,4,9,5,26,16,16,1,0,0,1
Champaarav2206,30.96666667,0,4,6,0,0,15,15,1,0,1,1
Champion,317.55,15,10,9,15,5,10,10,1,0,0,0
Chandu,62.38333333,14,1,1,14,6,21,21,0,1,1,0
Chanveer,66.33333333,10,10,9,10,15,12,12,1,0,0,1
